sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure_binary,weeks,train_status_enc,sex.male,age,upper_body,has_nutrition_control,hedges_g,hyp_class
18.0,4.0,1.0,3.0,180.0,10.0,1.25,22.5,0,6.0,2,1.0,22.4,1,1,0.31,Medium
13.0,4.0,1.0,3.0,130.0,10.0,1.25,22.5,0,6.0,2,1.0,22.4,1,1,0.42,Medium
14.0,14.0,1.0,3.0,140.0,10.0,1.25,22.5,0,6.0,2,1.0,22.4,0,1,0.26,Medium
28.0,4.0,1.0,3.0,280.0,10.0,1.25,25.5,0,6.0,2,1.0,21.8,1,1,0.78,Medium
18.0,4.0,1.0,3.0,180.0,10.0,1.25,25.5,0,6.0,2,1.0,21.8,1,1,0.09,Low
24.0,24.0,1.0,3.0,240.0,10.0,1.25,25.5,0,6.0,2,1.0,21.8,0,1,0.14,Low
6.0,6.0,2.0,2.0,32.2,16.1,3.0,100.0,1,10.0,0,0.64,22.5,0,0,0.64,Medium
4.6,4.6,2.0,2.0,26.8,13.4,3.0,100.0,1,10.0,0,0.64,22.5,0,0,0.36,Medium
9.0,9.0,2.0,2.0,23.2,11.6,1.5,100.0,1,10.0,0,0.64,22.5,0,0,0.62,Medium
6.0,6.0,2.0,2.0,19.6,9.8,1.5,100.0,1,10.0,0,0.64,22.5,0,0,0.38,Medium
8.0,8.0,1.0,1.0,56.0,7.0,2.0,100.0,1,8.0,2,1.0,22.7,0,0,-0.21,Low
8.0,8.0,2.0,2.0,56.0,7.0,2.0,100.0,1,8.0,2,1.0,23.1,0,0,-0.12,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,0.5,34.3,0,0,0.15,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,0.5,34.3,0,0,-0.06,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,0.5,34.3,0,0,0.04,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,0.5,34.3,0,0,0.14,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,0.5,34.3,0,0,0.14,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,0.5,34.3,0,0,0.03,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,0.5,34.3,0,0,0.09,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,0.5,34.3,0,0,0.24,Medium
3.0,3.0,3.0,3.0,37.08,12.36,2.0,100.0,1,14.0,0,0.5,34.3,0,0,0.3,Medium
3.0,3.0,3.0,3.0,37.08,12.36,2.0,100.0,1,14.0,0,0.5,34.3,0,0,0.29,Medium
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,0.47,34.9,0,0,0.14,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,0.47,34.9,0,0,-0.08,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,0.47,34.9,0,0,0.14,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,0.47,34.9,0,0,0.13,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,0.47,34.9,0,0,0.15,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,0.47,34.9,0,0,0.3,Medium
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,0.47,34.9,0,0,0.19,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,0.47,34.9,0,0,0.21,Medium
9.0,9.0,3.0,3.0,37.08,11.4,2.0,100.0,1,14.0,0,0.47,34.9,0,0,0.4,Medium
9.0,9.0,3.0,3.0,37.08,11.4,2.0,100.0,1,14.0,0,0.47,34.9,0,0,0.34,Medium
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,0.4,45.4,0,0,-0.18,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,0.4,45.4,0,0,-0.01,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,0.4,45.4,0,0,-0.01,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,0.4,45.4,0,0,-0.09,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,0.4,45.4,0,0,0.06,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,0.4,45.4,0,0,0.0,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,0.4,45.4,0,0,0.11,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,0.4,45.4,0,0,0.07,Low
0.0,0.0,0.0,0.0,0.0,11.88,2.0,100.0,1,14.0,0,0.4,45.4,0,0,0.02,Low
0.0,0.0,0.0,0.0,0.0,11.88,2.0,100.0,1,14.0,0,0.4,45.4,0,0,-0.06,Low
32.0,16.0,2.0,4.0,320.0,10.0,1.0,100.0,1,8.0,0,1.0,26.2,1,0,0.49,Medium
40.0,16.0,2.0,4.0,400.0,10.0,1.0,100.0,1,8.0,0,1.0,26.2,1,0,0.61,Medium
16.0,16.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,1.0,26.2,0,0,0.53,Medium
16.0,0.0,0.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,1.0,26.2,0,0,0.51,Medium
32.0,16.0,4.0,4.0,320.0,10.0,1.0,100.0,1,8.0,0,1.0,27.5,1,0,0.5,Medium
48.0,16.0,4.0,4.0,480.0,10.0,1.0,100.0,1,8.0,0,1.0,27.5,1,0,0.42,Medium
16.0,16.0,4.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,1.0,27.5,0,0,0.62,Medium
16.0,0.0,0.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,1.0,27.5,0,0,0.59,Medium
9.0,9.0,1.0,1.0,89.64,9.96,2.0,100.0,1,9.0,2,1.0,26.0,0,0,0.08,Low
9.0,9.0,3.0,3.0,89.73,9.97,2.0,100.0,1,9.0,2,1.0,26.0,0,0,0.21,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,1,0,0.71,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,1,0,0.77,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,0,0,0.6,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,0,0,0.44,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,26.3,1,0,0.6,Medium
32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,1,0,0.97,High
32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,1,0,0.27,Medium
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,0,0,0.83,High
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,0,0,0.93,High
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,1.0,24.9,1,0,0.28,Medium
30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,1.0,25.6,1,0,0.65,Medium
30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,1.0,25.6,1,0,1.13,High
12.0,12.0,4.0,5.0,132.0,11.0,1.0,100.0,1,8.0,2,1.0,25.6,0,0,1.16,High
30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,1.0,26.4,1,0,0.23,Medium
30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,1.0,26.4,1,0,0.43,Medium
12.0,12.0,1.0,5.0,132.0,11.0,1.0,100.0,1,8.0,2,1.0,26.4,0,0,0.75,Medium
12.0,6.0,1.0,1.0,120.0,10.0,2.0,100.0,1,10.0,2,1.0,21.7,1,0,0.21,Medium
12.0,6.0,2.0,2.0,120.0,10.0,2.0,100.0,1,10.0,2,1.0,22.8,1,0,0.09,Low
6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,1,0,0.14,Low
6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,1,0,0.11,Low
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,0,0,0.31,Medium
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,1.0,23.8,0,0,0.45,Medium
