number,first.author,year,design,upper.lower,age,sex.male,train.status,body.mass,years.exp,sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure.nonfailure.mixed.direct,weeks,nutrition.controlled.surplus?,nutrition.controlled.deficit?,pre.mean,post.mean,pre.sd,post.sd,n,measure,outcome,hedges_g,volume_category,failure_binary,nutrition_category,train_status_enc,upper_body,hyp_class
1,Amirthalingam,2016,between,upper,22.4,100.0,trained,74.8,4.8,18.0,4.0,1.0,3.0,180.0,10.0,1.25,22.5,mixed,6.0,Yes,No,41.1,43.4,6.6,7.5,9,Triceps MT,Hypertrophy,0.3101,High,0,Surplus,2,1,Medium
1,Amirthalingam,2016,between,upper,22.4,100.0,trained,74.8,4.8,13.0,4.0,1.0,3.0,130.0,10.0,1.25,22.5,mixed,6.0,Yes,No,33.1,35.5,5.4,5.6,9,Biceps MT,Hypertrophy,0.4155,Moderate,0,Surplus,2,1,Medium
1,Amirthalingam,2016,between,lower,22.4,100.0,trained,74.8,4.8,14.0,14.0,1.0,3.0,140.0,10.0,1.25,22.5,mixed,6.0,Yes,No,53.1,55.7,9.2,9.7,9,Anterior Thigh MT,Hypertrophy,0.2619,Moderate,0,Surplus,2,0,Medium
1,Amirthalingam,2016,between,upper,21.8,100.0,trained,77.5,3.5,28.0,4.0,1.0,3.0,280.0,10.0,1.25,25.5,mixed,6.0,Yes,No,42.0,46.5,6.6,4.1,10,Triceps MT,Hypertrophy,0.7845,High,0,Surplus,2,1,Medium
1,Amirthalingam,2016,between,upper,21.8,100.0,trained,77.5,3.5,18.0,4.0,1.0,3.0,180.0,10.0,1.25,25.5,mixed,6.0,Yes,No,34.6,34.9,4.1,2.2,10,Biceps MT,Hypertrophy,0.0873,High,0,Surplus,2,1,Low
1,Amirthalingam,2016,between,lower,21.8,100.0,trained,77.5,3.5,24.0,24.0,1.0,3.0,240.0,10.0,1.25,25.5,mixed,6.0,Yes,No,53.3,54.4,7.8,7.2,10,Anterior Thigh MT,Hypertrophy,0.1404,High,0,Surplus,2,0,Low
2,Longo,2022,between,lower,22.5,64.0,untrained,65.6,3.5,6.0,6.0,2.0,2.0,32.2,16.1,3.0,100.0,failure,10.0,No,No,76.7,86.53,14.2,15.41,14,Quad CSA,Hypertrophy,0.6441,Low,1,None,0,0,Medium
2,Longo,2022,between,lower,22.5,64.0,untrained,65.6,3.5,4.6,4.6,2.0,2.0,26.8,13.4,3.0,100.0,failure,10.0,No,No,75.8,80.65,12.9,13.18,14,Quad CSA,Hypertrophy,0.3611,Low,1,None,0,0,Medium
3,Longo,2022,between,lower,22.5,64.0,untrained,65.6,3.5,9.0,9.0,2.0,2.0,23.2,11.6,1.5,100.0,failure,10.0,No,No,76.5,86.02,14.7,15.33,14,Quad CSA,Hypertrophy,0.6154,Moderate,1,None,0,0,Medium
3,Longo,2022,between,lower,22.5,64.0,untrained,65.6,3.5,6.0,6.0,2.0,2.0,19.6,9.8,1.5,100.0,failure,10.0,No,No,77.2,82.37,13.3,13.34,14,Quad CSA,Hypertrophy,0.3768,Low,1,None,0,0,Medium
