sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure_binary,weeks,train_status_enc,sex.male,age,nutrition_category,upper_body,volume_category,hedges_g,hyp_class
18.0,4.0,1.0,3.0,180.0,10.0,1.25,22.5,0,6.0,2,100.0,22.4,Surplus,1,High,0.3101,Medium
13.0,4.0,1.0,3.0,130.0,10.0,1.25,22.5,0,6.0,2,100.0,22.4,Surplus,1,Moderate,0.4155,Medium
14.0,14.0,1.0,3.0,140.0,10.0,1.25,22.5,0,6.0,2,100.0,22.4,Surplus,0,Moderate,0.2619,Medium
28.0,4.0,1.0,3.0,280.0,10.0,1.25,25.5,0,6.0,2,100.0,21.8,Surplus,1,High,0.7845,Medium
18.0,4.0,1.0,3.0,180.0,10.0,1.25,25.5,0,6.0,2,100.0,21.8,Surplus,1,High,0.0873,Low
24.0,24.0,1.0,3.0,240.0,10.0,1.25,25.5,0,6.0,2,100.0,21.8,Surplus,0,High,0.1404,Low
6.0,6.0,2.0,2.0,32.2,16.1,3.0,100.0,1,10.0,0,64.0,22.5,None,0,Low,0.6441,Medium
4.6,4.6,2.0,2.0,26.8,13.4,3.0,100.0,1,10.0,0,64.0,22.5,None,0,Low,0.3611,Medium
9.0,9.0,2.0,2.0,23.2,11.6,1.5,100.0,1,10.0,0,64.0,22.5,None,0,Moderate,0.6154,Medium
6.0,6.0,2.0,2.0,19.6,9.8,1.5,100.0,1,10.0,0,64.0,22.5,None,0,Low,0.3768,Medium
8.0,8.0,1.0,1.0,56.0,7.0,2.0,100.0,1,8.0,2,100.0,22.7,None,0,Moderate,-0.208,Low
8.0,8.0,2.0,2.0,56.0,7.0,2.0,100.0,1,8.0,2,100.0,23.1,None,0,Moderate,-0.1217,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,0.1463,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,-0.0627,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,0.0444,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,0.1354,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,0.1397,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,0.0296,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,0.0918,Low
3.0,3.0,3.0,3.0,36.3,12.1,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,0.2383,Medium
3.0,3.0,3.0,3.0,37.08,12.36,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,0.3028,Medium
3.0,3.0,3.0,3.0,37.08,12.36,2.0,100.0,1,14.0,0,50.0,34.3,None,0,Low,0.2865,Medium
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,0.1424,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,-0.082,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,0.1432,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,0.1275,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,0.1451,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,0.3019,Medium
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,0.1933,Low
9.0,9.0,3.0,3.0,36.3,11.1,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,0.2055,Medium
9.0,9.0,3.0,3.0,37.08,11.4,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,0.3953,Medium
9.0,9.0,3.0,3.0,37.08,11.4,2.0,100.0,1,14.0,0,47.0,34.9,None,0,Moderate,0.3396,Medium
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,-0.1777,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,-0.0139,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,-0.0134,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,-0.0874,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,0.063,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,0.0,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,0.1134,Low
0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,0.0726,Low
0.0,0.0,0.0,0.0,0.0,11.88,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,0.0178,Low
0.0,0.0,0.0,0.0,0.0,11.88,2.0,100.0,1,14.0,0,40.0,45.4,None,0,Low,-0.0586,Low
32.0,16.0,2.0,4.0,320.0,10.0,1.0,100.0,1,8.0,0,100.0,26.2,None,1,High,0.4945,Medium
40.0,16.0,2.0,4.0,400.0,10.0,1.0,100.0,1,8.0,0,100.0,26.2,None,1,High,0.6056,Medium
16.0,16.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,100.0,26.2,None,0,High,0.5273,Medium
16.0,0.0,0.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,100.0,26.2,None,0,High,0.5065,Medium
32.0,16.0,4.0,4.0,320.0,10.0,1.0,100.0,1,8.0,0,100.0,27.5,None,1,High,0.4975,Medium
48.0,16.0,4.0,4.0,480.0,10.0,1.0,100.0,1,8.0,0,100.0,27.5,None,1,High,0.4166,Medium
16.0,16.0,4.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,100.0,27.5,None,0,High,0.623,Medium
16.0,0.0,0.0,4.0,160.0,10.0,1.0,100.0,1,8.0,0,100.0,27.5,None,0,High,0.5874,Medium
9.0,9.0,1.0,1.0,89.64000000000001,9.96,2.0,100.0,1,9.0,2,100.0,26.0,None,0,Moderate,0.0824,Low
9.0,9.0,3.0,3.0,89.73,9.97,2.0,100.0,1,9.0,2,100.0,26.0,None,0,Moderate,0.2057,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,1,High,0.713,Medium
32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,1,High,0.7666,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,0,High,0.6005,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,0,High,0.4357,Medium
32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,26.3,None,1,High,0.5982,Medium
32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,1,High,0.9721,High
32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,1,High,0.2708,Medium
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,0,High,0.8274,High
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,0,High,0.9269,High
32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,1,8.0,2,100.0,24.9,None,1,High,0.2757,Medium
30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,100.0,25.6,None,1,High,0.6462,Medium
30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,100.0,25.6,None,1,High,1.1338,High
12.0,12.0,4.0,5.0,132.0,11.0,1.0,100.0,1,8.0,2,100.0,25.6,None,0,Moderate,1.1559,High
30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,100.0,26.4,None,1,High,0.2286,Medium
30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,1,8.0,2,100.0,26.4,None,1,High,0.4288,Medium
12.0,12.0,1.0,5.0,132.0,11.0,1.0,100.0,1,8.0,2,100.0,26.4,None,0,Moderate,0.7469,Medium
12.0,6.0,1.0,1.0,120.0,10.0,2.0,100.0,1,10.0,2,100.0,21.7,None,1,Moderate,0.208,Medium
12.0,6.0,2.0,2.0,120.0,10.0,2.0,100.0,1,10.0,2,100.0,22.8,None,1,Moderate,0.09,Low
6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,1,Low,0.1428,Low
6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,1,Low,0.1057,Low
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,0,Moderate,0.3139,Medium
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,0,Moderate,0.4535,Medium
18.0,0.0,0.0,3.0,180.0,10.0,1.5,100.0,1,8.0,2,100.0,23.8,None,1,High,0.3466,Medium
