Variable,N,Mean,Median,SD,Min,Max,Q1,Q3
Hedges g (TARGET),198,0.429,0.36,0.37,-0.208,2.259,0.145,0.615
Sets/Week (all),198,15.504,12.0,10.894,0.0,48.0,6.947,24.0
Sets/Week (direct),198,10.585,9.0,8.903,0.0,45.0,4.742,14.75
Frequency (direct),198,2.112,2.0,1.19,0.0,6.0,1.0,3.0
Sessions/Week,198,3.031,3.0,1.441,0.0,8.0,2.0,4.0
Reps/Week,198,151.25,135.135,107.73,0.0,480.0,60.0,216.0
Rep Range,198,10.503,10.0,1.847,7.0,21.66,9.6,11.1
Rest (min),198,1.837,2.0,0.657,1.0,4.111,1.5,2.0
% Failure,198,83.584,100.0,34.436,0.0,100.0,100.0,100.0
Duration (weeks),198,9.99,8.5,3.613,6.0,24.33,8.0,11.75
Age,198,26.064,23.8,5.847,19.5,45.4,22.5,26.7
% Male,198,86.414,100.0,23.137,27.27,100.0,64.0,100.0
Body Mass (kg),198,76.006,77.5,6.125,64.2,87.2,69.9,80.7
Years Experience,198,3.735,3.5,0.97,0.154,6.63,3.5,4.088
